,Q,EP
1355,3100,0.003751394
1356,3300,0.002838893
1357,3500,0.002027781
1358,3300,0.002838893
1359,3100,0.003751394
1360,2900,0.004461117
2769,5640,0.000304167
2770,5730,0.000202778
2771,4100,0.000811112
2772,3260,0.003041671
6826,2810,0.004968062
6830,3360,0.002534726
6831,3700,0.001622224
6832,3400,0.002331948
7192,2880,0.004562506
7193,2860,0.004663895
8019,7150,0.000101389
8020,3850,0.001419446
8021,3160,0.003548616
8022,3190,0.003345838
8273,3370,0.002433337
8274,4000,0.00101389
8275,3220,0.00314306
8276,3530,0.001926392
8277,3780,0.001520835
8278,3960,0.001216668
8279,5450,0.000405556
8280,4880,0.000506945
8281,4410,0.000608334
8282,4050,0.000912501
8283,3990,0.001115279
8284,3640,0.001825003
8285,3320,0.002737504
8286,2860,0.004663895
8647,2920,0.004359728
8648,3130,0.003650005
8649,3360,0.002534726
8650,3470,0.00212917
8651,3200,0.003244449
8652,2990,0.00415695
8653,2950,0.004258339
8654,3050,0.004055561
8655,3680,0.001723614
8656,4140,0.000709723
8657,3920,0.001318057
8658,3470,0.00212917
8659,3100,0.003751394
8660,2860,0.004663895
8661,3190,0.003345838
8662,2810,0.004968062
