"","discharge","longfindace","yellowbullhead","desertsucker","sonoransucker","redshiner","roundtailchub","greensunfish","fatheadminnow","speckleddace"
"1",0,2282.27459016393,2071.8237704918,1713.21721311475,0,1475.81967213115,360.040983606557,1042.00819672131,1160.34836065574,0
"2",4.8,7063.01229508197,6917.11065573771,5460.45081967213,4388.72950819672,4371.9262295082,1939.95901639344,4351.02459016393,4573.97540983607,2130.53278688525
"3",10,8181.35245901639,8030.02049180328,6130.43032786885,6026.43442622951,4813.62704918033,2342.62295081967,4757.17213114754,4925.51229508197,3070.18442622951
"4",20,8506.35245901639,8670.79918032787,6419.67213114754,7172.13114754098,5174.79508196721,2624.89754098361,4928.99590163934,5117.62295081967,3572.43852459016
"5",25,8465.88114754098,8697.95081967213,6320.38934426229,7380.12295081967,5128.68852459016,2744.87704918033,4418.23770491803,4582.27459016393,3727.86885245902
"6",33,8408.60655737705,8738.72950819672,6211.68032786885,7605.32786885246,5134.52868852459,2758.70901639344,3194.26229508197,3426.22950819672,3852.04918032787
"7",59,6927.66393442623,6773.97540983607,5838.21721311475,7374.07786885246,4949.79508196721,2733.50409836066,2058.50409836066,2226.74180327869,3956.25
"8",80,5927.15163934426,5580.53278688525,4955.84016393443,7149.18032786885,4181.04508196721,2403.48360655738,1570.08196721311,1713.62704918033,3886.06557377049
"9",100,6438.52459016393,6081.45491803279,5186.68032786885,7543.13524590164,4391.18852459016,2494.05737704918,2048.25819672131,2324.18032786885,4271.00409836066
"10",125,6213.62704918033,5841.80327868853,4948.87295081967,7148.66803278689,4096.20901639344,2320.08196721311,1878.27868852459,2107.37704918033,4463.72950819672
"11",200,5024.38524590164,4692.31557377049,3855.84016393443,5742.93032786885,3253.0737704918,1649.48770491803,1590.36885245902,1802.76639344262,4092.41803278689
"12",250,3750.20491803279,3753.79098360656,2763.01229508197,3323.36065573771,2431.45491803279,1146.8237704918,1333.09426229508,1545.90163934426,2500.30737704918
"13",400,3748.97540983607,3794.56967213115,2802.76639344262,3027.56147540984,2513.93442622951,1125.20491803279,1675.20491803279,1702.25409836066,2050.30737704918
"14",500,5215.06147540984,5326.84426229508,4014.34426229508,4167.2131147541,3312.09016393443,1916.90573770492,2326.6393442623,2323.05327868852,2801.94672131148
"15",750,5871.10655737705,5872.33606557377,4829.81557377049,5313.01229508197,3796.61885245902,2159.4262295082,2430.12295081967,2407.99180327869,3476.43442622951
"16",1000,5118.34016393443,4944.05737704918,4238.01229508197,5366.49590163934,3142.93032786885,1818.34016393443,1699.38524590164,1797.43852459016,3108.60655737705
"17",2000,6474.89754098361,5977.35655737705,4707.06967213115,6129.91803278689,3707.99180327869,2072.33606557377,1632.7868852459,1801.94672131148,4484.73360655738
"18",2500,6824.48770491803,5943.64754098361,5099.79508196721,6678.58606557377,4131.25,1862.80737704918,1728.58606557377,2016.39344262295,4603.89344262295
"19",3800,7675.81967213115,6840.36885245902,5929.61065573771,8191.90573770492,5080.43032786885,2267.1106557377,1951.33196721311,2247.64344262295,4622.64344262295
"20",5000,6789.34426229508,5953.1762295082,4924.79508196721,6492.31557377049,4415.06147540984,1793.13524590164,1740.5737704918,1975.20491803279,3502.97131147541
"21",10000,5827.25409836066,8915.47131147541,3679.61065573771,5238.52459016393,3713.01229508197,1660.65573770492,4976.22950819672,3084.4262295082,1458.60655737705
