"","scene","month","mon_avg"
"1","baseline_q",1,592.687652388731
"2","baseline_q",2,640.480519966201
"3","baseline_q",3,629.474193147559
"4","baseline_q",4,631.510245482955
"5","baseline_q",5,640.858277739593
"6","baseline_q",6,668.210428622727
"7","baseline_q",7,666.084500229922
"8","baseline_q",8,688.852367495297
"9","baseline_q",9,735.26053278161
"10","baseline_q",10,724.605081909318
"11","baseline_q",11,698.69047549378
"12","baseline_q",12,683.005417713423
"13","baseline_q",NA,136.412026862325
"14","red_25_percent",1,1168.08651176667
"15","red_25_percent",2,1028.06372688333
"16","red_25_percent",3,905.942452016667
"17","red_25_percent",4,2000.82756793333
"18","red_25_percent",5,3184.52863933333
"19","red_25_percent",6,3242.93746604667
"20","red_25_percent",7,2765.97719764333
"21","red_25_percent",8,2091.97790805
"22","red_25_percent",9,2437.77903775
"23","red_25_percent",10,3069.00045362333
"24","red_25_percent",11,2333.49891445
"25","red_25_percent",12,1683.01637798333
"26","red_all_q_10",1,703.312395353333
"27","red_all_q_10",2,637.084695513333
"28","red_all_q_10",3,623.281696313333
"29","red_all_q_10",4,1713.99899652667
"30","red_all_q_10",5,3062.858077332
"31","red_all_q_10",6,3371.73169555867
"32","red_all_q_10",7,2594.93805620533
"33","red_all_q_10",8,1698.39909610533
"34","red_all_q_10",9,2004.82616376533
"35","red_all_q_10",10,2453.12236900133
"36","red_all_q_10",11,1432.33003196
"37","red_all_q_10",12,979.55135642
